Less than 9th grade,"9th to 12th grade, no diploma","Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Population 25 to 34 years,Population 35 to 44 years,Population 45 to 64 years,Population 65 years and over,White alone,White alone High school graduate or higher,White alone Bachelor's degree or higher,Black alone,Black alone High school graduate or higher,Black alone Bachelor's degree or higher,Asian alone,Asian aloneÂ High school graduate or higher,Asian aloneÂ Bachelor's degree or higher,Hispanic or Latino Origin,Hispanic or Latino OriginÂ High school graduate or higher,Hispanic or Latino OriginÂ Bachelor's degree or higher,Counties,Total Population
0.290863806,0.014400543,0.09521114,0.144526209,0.036725914,1.6078569,0.045488509,0.06158723,0.297520661,0.121181931,0.425223593,0.406385147,0.322653685,0.267519529,0.614287332,0.403396355,1.352428394,1.285950413,0.744050719,0.153968074,0.123038605,0.018702593,ALBEMARLE,83857
0.246805045,0.014324636,0.035825633,0.048015617,0.14863916,2.409670533,0.114639216,0.06434851,0.224124372,0.078518664,0.830351375,0.939064124,0.848229082,0.544125495,0.712594444,0.304721512,1.785579867,1.721217313,1.425427633,0.211541162,0.178692807,0.092379856,ARLINGTON,189157
0.134518284,0.042001585,0.042205366,0.045488509,0.004822824,1.216642137,0.050537756,0.116630816,0.236544775,0.086539115,0.195131892,0.071436658,0.183357863,0.197803691,0.511445715,0.324034869,1.138639194,0.998664101,0.257262538,0,0,0,AUGUSTA,59674
0.08134146,0.005786029,0.03189338,0.03432295,0.009339101,0.786464624,0.039547229,0.074600455,0.153442126,0.078069264,0.133205067,0.076159312,0.097281128,0.119414094,0.356149763,0.213619639,0.709954217,0.604429402,0.189380108,0.061244839,0.055557116,0.014465073,BEDFORD,61793
0.701505717,0.075240575,0.225744368,0.323174459,0.077346315,5.053345409,0.181750255,0.23706555,1.094373373,0.401064191,1.144684705,0.757319144,0.898652779,1.031654025,2.111241934,1.011796672,3.618702593,3.345363976,1.425653798,1.061994792,0.978195404,0.341107212,CHESTERFIELD,254163
1.347695419,0.160225262,0.313133725,0.571510828,0.302825605,10.87957475,0.470185097,0.395486335,1.455088054,0.578476533,3.320857793,3.144103025,2.214588658,2.336797461,4.415751482,1.912437154,6.931003005,6.548198186,4.463739011,0.998525405,0.912788248,0.434443727,FAIRFAX,870655
0.110358881,0.012498585,0.049745273,0.034167327,0.013947696,1.080244538,0.026061361,0.058281445,0.22662742,0.075829277,0.217072342,0.139454319,0.17298766,0.191712895,0.474878297,0.240665685,0.940790218,0.87979169,0.327521793,0.09224499,0.073927318,0.015193026,FAUQUIER,52583
0.085849507,0.008061118,0.033213493,0.042173412,0.002401483,0.816307615,0.031289498,0.063772716,0.150240148,0.073954442,0.135213325,0.094037019,0.13000309,0.13747437,0.355925062,0.192905092,0.748223464,0.667485886,0.205895571,0,0,0,FREDERICK,64239
0.201698177,0.025223593,0.058575795,0.096297974,0.021600815,1.609758859,0.029842636,0.091135515,0.331914412,0.148737688,0.389992075,0.171312125,0.225178309,0.306826673,0.708456923,0.369296955,1.393026152,1.309611683,0.503656742,0.160081513,0.132163478,0.034620174,HANOVER,80003
0.362946943,0.055809904,0.105061371,0.146673033,0.055402635,3.143372749,0.084782181,0.170701907,0.643878325,0.210614274,0.851725978,0.534688088,0.671277701,0.606114653,1.222593602,0.643386793,1.914670112,1.816827234,0.951408589,0.866654495,0.755891357,0.252268067,HENRICO,249671
