Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma","Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Population 25 to 34 years,Population 35 to 44 years,Population 45 to 64 years,Population 65 years and over,White alone,White alone High school graduate or higher,Black alone,Black alone High school graduate or higher,Black alone Bachelor's degree or higher,Asian alone,Asian alone High school graduate or higher,Asian alone Bachelor's degree or higher,Hispanic or Latino Origin,Hispanic or Latino Origin High school graduate or higher,Hispanic or Latino Origin Bachelor's degree or higher,Population 25 years and over with earnings,Counties,Total Population
12846,636,4205,6383,1622,71011,2009,2720,13140,5352,18780,17948,14250,11815,27130,17816,59730,56794,6800,5434,826,0,0,0,0,0,0,44165,ALBEMARLE,83857
17574,1020,2551,3419,10584,171583,8163,4582,15959,5591,59126,66867,60399,38745,50741,21698,127144,122561,15063,12724,6578,18404,16558,13719,23782,17380,9671,71206,ARLINGTON,189157
5941,1855,1864,2009,213,53733,2232,5151,10447,3822,8618,3155,8098,8736,22588,14311,50288,44106,0,0,0,0,0,0,0,0,0,31906,AUGUSTA,59674
5792,412,2271,2444,665,56001,2816,5312,10926,5559,9485,5423,6927,8503,25360,15211,50553,43039,4361,3956,1030,0,0,0,0,0,0,37146,BEDFORD,61793
30982,3323,9970,14273,3416,223181,8027,10470,48333,17713,50555,33447,39689,45563,93243,44686,159820,147748,46903,43202,15065,7972,7262,4342,14609,9801,2242,43863,CHESTERFIELD,254163
95964,11409,22297,40695,21563,774691,33480,28161,103611,41191,236465,223879,157692,166394,314428,136177,493529,466271,71101,64996,30935,152459,138257,94194,110556,77555,29540,60396,FAIRFAX,870655
4874,552,2197,1509,616,47709,1151,2574,10009,3349,9587,6159,7640,8467,20973,10629,41550,38856,4074,3265,671,0,0,0,2881,2181,363,50248,FAUQUIER,52583
6113,574,2365,3003,171,58126,2228,4541,10698,5266,9628,6696,9257,9789,25344,13736,53278,47529,0,0,0,0,0,0,3469,2321,511,42326,FREDERICK,64239
8908,1114,2587,4253,954,71095,1318,4025,14659,6569,17224,7566,9945,13551,31289,16310,61523,57839,7070,5837,1529,0,0,0,0,0,0,50110,HANOVER,80003
25844,3974,7481,10444,3945,223827,6037,12155,45848,14997,60648,38073,47799,43159,87056,45813,136336,129369,61711,53824,17963,18674,15881,11293,9862,8221,3009,39313,HENRICO,249671
4606,591,1104,2486,425,53615,1347,1619,11485,4352,14374,10945,8063,7468,20674,17410,43637,41780,6779,5897,1514,0,0,0,0,0,0,39049,JAMES,58221
26999,3669,8265,10744,4321,239384,7142,7655,34709,13358,87085,56975,46972,65685,95642,31085,161976,154474,18702,17324,9595,42356,39788,31599,28920,22227,10189,65875,LOUDOUN,266383
26827,505,3169,19168,3985,55195,1550,2768,9040,3917,14104,12237,15152,10232,19199,10612,48422,44692,2222,1734,857,0,0,0,0,0,0,36299,MONTGOMERY,82022
39945,4208,13976,18020,3741,286217,17339,19153,57290,20718,68574,44991,63967,69340,113648,39262,169200,152636,59902,56080,23655,25252,21409,10481,55616,32858,8455,49793,PRINCE,326162
