Year,Combined_Labeler_Name,DOSAGE_UNIT
2006,A-S Medication Solutions,24267.0
2006,AAI Pharma,282000.0
2006,AbbVie Inc.,1081500.0
2006,Actavis,53007885.0
2006,"Allergan, Inc.",167700.0
2006,Amneal,6400.0
2006,"Aphena Pharma Solutions - Tennessee, LLC",1380.0
2006,"Auriga Pharmaceuticals, LLC",18600.0
2006,Bausch Health,10400.0
2006,Bristol-Myers Squibb,1000.0
2006,Dispensing Solutions Inc.,484140.0
2006,Endo Pharmaceuticals Inc.,2258900.0
2006,Ethex Corporation,831300.0
2006,"Exeltis USA, Inc.",5546.0
2006,"Forest Laboratories, Inc.",264100.0
2006,"Hawthorn Pharmaceuticals, Inc.",15272.0
2006,Hikma Pharmaceuticals USA Inc.,1295700.0
2006,"Larken Laboratories, Inc",3500.0
2006,Major Pharmaceuticals,10300.0
2006,McKesson Corporation,193200.0
2006,Mylan,90.0
2006,"PD-Rx Pharmaceuticals, Inc.",250.0
2006,"Par Pharmaceutical, Inc.",18861290.0
2006,Pfizer,11800.0
2006,"Physicians Total Care, Inc",2690.0
2006,Purdue,2604364.0
2006,"RPK Pharmaceuticals, Inc",1000.0
2006,SpecGx LLC,88149200.0
2006,St. Mary's Medical Park Pharmacy,9675.0
2006,"Teamm Pharmaceuticals, Inc.",268560.0
2006,Teva,3586140.0
2006,"UCB, Inc.",830248.0
2006,"Watson Pharma, Inc.",600.0
2006,"Xanodyne Pharmaceuticals, Inc.",7800.0
2007,A-S Medication Solutions,16206.0
2007,AAI Pharma,1740.0
2007,AbbVie Inc.,894100.0
2007,Actavis,59945408.0
2007,"Allergan, Inc.",67200.0
2007,Amneal,1113800.0
2007,"Aphena Pharma Solutions - Tennessee, LLC",1380.0
2007,Apotheca Inc.,920.0
2007,"Athlon Pharmaceuticals, Inc.",1000.0
2007,"Auriga Pharmaceuticals, LLC",300.0
2007,Bristol-Myers Squibb,400.0
2007,"Centrix Pharmaceutical, Inc.",3500.0
2007,Dispensing Solutions Inc.,520782.0
2007,Endo Pharmaceuticals Inc.,2019300.0
