Year,BUYER_COUNTY,DOSAGE_UNIT
2006,ACCOMACK,487300.0
2006,ALBEMARLE,2033730.0
2006,ALEXANDRIA CITY,1321972.0
2006,ALLEGHANY,300820.0
2006,AMELIA,168300.0
2006,AMHERST,559100.0
2006,APPOMATTOX,370300.0
2006,ARLINGTON,1460805.0
2006,AUGUSTA,1297790.0
2006,BATH,73440.0
2006,BEDFORD,807150.0
2006,BLAND,241500.0
2006,BOTETOURT,435660.0
2006,BRISTOL CITY,1506520.0
2006,BRUNSWICK,116000.0
2006,BUCHANAN,2053130.0
2006,BUCKINGHAM,307700.0
2006,BUENA VISTA CITY,220600.0
2006,CAMPBELL,569910.0
2006,CAROLINE,237800.0
2006,CARROLL,375340.0
2006,CHARLOTTE,241600.0
2006,CHARLOTTESVILLE CITY,1435700.0
2006,CHESAPEAKE CITY,4368760.0
2006,CHESTERFIELD,6727960.0
2006,CLARKE,131300.0
2006,COLONIAL HEIGHTS CITY,1477850.0
2006,COVINGTON CITY,429460.0
2006,CRAIG,125300.0
2006,CULPEPER,1117200.0
2006,CUMBERLAND,38270.0
2006,DANVILLE CITY,2534880.0
2006,DICKENSON,1703290.0
2006,DINWIDDIE,97200.0
2006,ESSEX,345600.0
2006,FAIRFAX,11575225.0
2006,FAIRFAX CITY,668485.0
2006,FALLS CHURCH CITY,629350.0
2006,FAUQUIER,1808800.0
2006,FLOYD,229230.0
2006,FLUVANNA,264500.0
2006,FRANKLIN,1480960.0
2006,FRANKLIN CITY,455520.0
2006,FREDERICK,1263200.0
2006,FREDERICKSBURG CITY,1550640.0
2006,GALAX CITY,656800.0
2006,GILES,1128400.0
2006,GLOUCESTER,1164600.0
2006,GOOCHLAND,220500.0
2006,GRAYSON,123400.0
2006,GREENE,72700.0
2006,GREENSVILLE,318680.0
2006,HALIFAX,896800.0
2006,HAMPTON CITY,3013720.0
2006,HANOVER,2551210.0
2006,HARRISONBURG CITY,2049580.0
2006,HENRICO,7764250.0
2006,HENRY,1386100.0
2006,HOPEWELL CITY,824420.0
2006,ISLE OF WIGHT,733200.0
2006,JAMES CITY,1633920.0
2006,KING GEORGE,179300.0
2006,KING WILLIAM,335275.0
2006,LANCASTER,451950.0
2006,LEE,1665890.0
2006,LEXINGTON CITY,500630.0
2006,LOUDOUN,3718963.0
2006,LOUISA,600100.0
2006,LUNENBURG,169400.0
2006,LYNCHBURG CITY,2684070.0
2006,MADISON,117700.0
2006,MANASSAS CITY,1233389.0
2006,MARTINSVILLE CITY,2731900.0
2006,MATHEWS,183700.0
2006,MECKLENBURG,777585.0
2006,MIDDLESEX,200700.0
2006,MONTGOMERY,2682360.0
2006,NELSON,239200.0
2006,NEW KENT,321100.0
2006,NEWPORT NEWS CITY,3435060.0
2006,NORFOLK CITY,3644740.0
2006,NORTHAMPTON,461200.0
2006,NORTHUMBERLAND,177000.0
2006,NORTON CITY,912900.0
2006,NOTTOWAY,339150.0
2006,ORANGE,886200.0
2006,PAGE,781700.0
2006,PATRICK,550560.0
2006,PETERSBURG CITY,1037380.0
2006,PITTSYLVANIA,310300.0
2006,POQUOSON CITY,370600.0
2006,PORTSMOUTH CITY,2879210.0
2006,POWHATAN,368600.0
2006,PRINCE EDWARD,502400.0
2006,PRINCE GEORGE,104500.0
2006,PRINCE WILLIAM,4884918.0
2006,PULASKI,2480700.0
2006,RADFORD,797160.0
2006,RAPPAHANNOCK,51000.0
2006,RICHMOND,127700.0
2006,RICHMOND CITY,3241192.0
2006,ROANOKE,2455544.0
2006,ROANOKE CITY,4188810.0
2006,ROCKINGHAM,695000.0
2006,RUSSELL,2162845.0
2006,SALEM,1485480.0
2006,SCOTT,2208050.0
2006,SHENANDOAH,896100.0
2006,SMYTH,1622440.0
2006,SOUTHAMPTON,11800.0
2006,SPOTSYLVANIA,2002420.0
2006,STAFFORD,2009806.0
2006,STAUNTON CITY,1655200.0
2006,SUFFOLK CITY,1339920.0
2006,SURRY,22100.0
2006,SUSSEX,130700.0
2006,TAZEWELL,3932200.0
2006,VIRGINIA BEACH CITY,7301128.0
2006,WARREN,1184975.0
2006,WASHINGTON,2766590.0
2006,WAYNESBORO CITY,1735000.0
2006,WESTMORELAND,227400.0
2006,WINCHESTER CITY,1693150.0
2006,WISE,3954350.0
2006,WYTHE,1355100.0
2006,YORK,782800.0
2007,ACCOMACK,614000.0
2007,ALBEMARLE,2223720.0
2007,ALEXANDRIA CITY,1536397.0
2007,ALLEGHANY,357420.0
2007,AMELIA,208100.0
2007,AMHERST,631400.0
2007,APPOMATTOX,416100.0
2007,ARLINGTON,1545774.0
2007,AUGUSTA,1460800.0
2007,BATH,77600.0
2007,BEDFORD,947600.0
2007,BLAND,281000.0
2007,BOTETOURT,511740.0
2007,BRISTOL CITY,1668500.0
2007,BRUNSWICK,114000.0
2007,BUCHANAN,2096890.0
2007,BUCKINGHAM,375460.0
2007,BUENA VISTA CITY,251900.0
2007,CAMPBELL,692600.0
2007,CAROLINE,261700.0
2007,CARROLL,481200.0
2007,CHARLOTTE,281100.0
2007,CHARLOTTESVILLE CITY,1462400.0
2007,CHESAPEAKE CITY,4634880.0
2007,CHESTERFIELD,7508506.0
2007,CLARKE,136600.0
2007,COLONIAL HEIGHTS CITY,1459240.0
2007,COVINGTON CITY,545320.0
2007,CRAIG,146400.0
2007,CULPEPER,1281916.0
2007,CUMBERLAND,59800.0
2007,DANVILLE CITY,2345060.0
2007,DICKENSON,1824830.0
2007,DINWIDDIE,112800.0
2007,ESSEX,305400.0
2007,FAIRFAX,12661472.0
2007,FAIRFAX CITY,647053.0
2007,FALLS CHURCH CITY,657678.0
2007,FAUQUIER,2110360.0
2007,FLOYD,298300.0
2007,FLUVANNA,279400.0
2007,FRANKLIN,1838520.0
2007,FRANKLIN CITY,563500.0
2007,FREDERICK,1527700.0
2007,FREDERICKSBURG CITY,1579840.0
2007,GALAX CITY,778100.0
2007,GILES,1372200.0
2007,GLOUCESTER,1244300.0
2007,GOOCHLAND,256200.0
2007,GRAYSON,146900.0
2007,GREENE,72300.0
2007,GREENSVILLE,343200.0
2007,HALIFAX,983500.0
2007,HAMPTON CITY,3257560.0
2007,HANOVER,2848200.0
2007,HARRISONBURG CITY,2356400.0
2007,HENRICO,8722834.0
2007,HENRY,1901800.0
2007,HOPEWELL CITY,920990.0
2007,ISLE OF WIGHT,829100.0
2007,JAMES CITY,1753700.0
2007,KING GEORGE,203700.0
2007,KING WILLIAM,392900.0
2007,LANCASTER,594680.0
2007,LEE,1572690.0
2007,LEXINGTON CITY,623500.0
2007,LOUDOUN,4088683.0
2007,LOUISA,710900.0
2007,LUNENBURG,174800.0
2007,LYNCHBURG CITY,3118350.0
2007,MADISON,118900.0
2007,MANASSAS CITY,1312940.0
2007,MARTINSVILLE CITY,3064400.0
2007,MATHEWS,190700.0
