,Label (Grouping),Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency).1,"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Population 25 to 34 years,High school graduate or higher,Bachelor's degree or higher,Population 35 to 44 years,High school graduate or higher.1,Bachelor's degree or higher.1,Population 45 to 64 years,High school graduate or higher.2,Bachelor's degree or higher.2,Population 65 years and over,High school graduate or higher.3,Bachelor's degree or higher.3,White alone,White alone High school graduate or higher,White alone Bachelor's degree or higher,"White alone, not Hispanic or Latino","White alone, not Hispanic or Latino High school graduate or higher","White alone, not Hispanic or Latino Bachelor's degree or higher",Black alone,Black alone High school graduate or higher,Black alone Bachelor's degree or higher,American Indian or Alaska Native alone,American Indian or Alaska Native alone High school graduate or higher,American Indian or Alaska Native alone Bachelor's degree or higher,Asian alone,Asian alone High school graduate or higher,Asian alone Bachelor's degree or higher,Native Hawaiian and Other Pacific Islander alone,Native Hawaiian and Other Pacific Islander alone  High school graduate or higher,Native Hawaiian and Other Pacific Islander alone Bachelor's degree or higher,Some other race alone,Some other race alone High school graduate or higher,Some other race alone Bachelor's degree or higher,Two or more races,Two or more races High school graduate or higher,Two or more races Bachelor's degree or higher,Hispanic or Latino Origin,Hispanic or Latino Origin High school graduate or higher,Hispanic or Latino Origin Bachelor's degree or higher,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher.4,Population 25 years and over with earnings,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree
8868,"Albemarle County, Virginia!!Total!!Estimate","12,846",636,"4,205","6,383","1,622","71,011","2,009","2,720","11,062","13,140","5,352","18,780","17,948",,,"14,250","13,136","7,808","11,815","11,170","6,939","27,130","25,536","13,243","17,816","16,440","8,738","59,730","56,794","32,861","57,752","54,903","32,067","6,800","5,434",826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"44,165","24,392","33,661","32,250","52,635","71,536"
8872,"Albemarle County, Virginia!!Males!!Estimate","6,408",500,"2,189","2,750",969,"32,757","1,010","1,290","5,655","5,639","1,940","7,364","9,859",,,"6,877","6,193","3,233","5,998","5,559","3,493","12,177","11,422","5,653","7,705","7,283","4,844","27,666","26,241","15,445","26,995","25,570","15,411","2,932","2,260",157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"57,060","31,305","39,900","35,513","80,230","85,988"
8876,"Albemarle County, Virginia!!Females!!Estimate","6,438",136,"2,016","3,633",653,"38,254",999,"1,430","5,407","7,501","3,412","11,416","8,089",,,"7,373","6,943","4,575","5,817","5,611","3,446","14,953","14,114","7,590","10,111","9,157","3,894","32,064","30,553","17,416","30,757","29,333","16,656","3,868","3,174",669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"37,631","20,941","26,118","30,700","40,502","51,456"
8880,"Arlington County, Virginia!!Total!!Estimate","17,574","1,020","2,551","3,419","10,584","171,583","8,163","4,582","11,295","15,959","5,591","59,126","66,867",,,"60,399","58,251","49,494","38,745","35,618","29,004","50,741","46,765","34,865","21,698","18,204","12,630","127,144","122,561","101,499","110,314","109,330","93,346","15,063","12,724","6,578",0,0,0,"18,404","16,558","13,719",0,0,0,"6,864","3,199",999,0,0,0,"23,782","17,380","9,671",,,,,"71,206","32,475","26,689","45,910","75,025","90,904"
8884,"Arlington County, Virginia!!Males!!Estimate","8,563",621,"1,663","1,672","4,607","85,682","4,011","2,647","4,935","8,606","2,746","29,866","32,871",,,"30,530","29,375","23,856","19,918","17,663","14,192","25,492","23,703","18,377","9,742","8,283","6,312","64,511","62,027","51,117","55,229","54,730","46,850","7,617","6,280","3,245",0,0,0,"8,364","7,737","6,468",0,0,0,"3,242","1,195",484,0,0,0,"12,233","9,063","5,238",,,,,"77,066","36,294","26,477","48,321","80,249","102,458"
8888,"Arlington County, Virginia!!Females!!Estimate","9,011",399,888,"1,747","5,977","85,901","4,152","1,935","6,360","7,353","2,845","29,260","33,996",,,"29,869","28,876","25,638","18,827","17,955","14,812","25,249","23,062","16,488","11,956","9,921","6,318","62,633","60,534","50,382","55,085","54,600","46,496","7,446","6,444","3,333",0,0,0,"10,040","8,821","7,251",0,0,0,"3,622","2,004",515,0,0,0,"11,549","8,317","4,433",,,,,"66,065","16,085","28,111","40,776","70,083","79,066"
8892,"Augusta County, Virginia!!Total!!Estimate","5,941","1,855","1,864","2,009",213,"53,733","2,232","5,151","20,308","10,447","3,822","8,618","3,155",,,"8,098","7,415","1,045","8,736","7,562","2,298","22,588","19,376","4,918","14,311","11,997","3,512","50,288","44,106","11,362","49,990","43,878","11,337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"31,906","21,884","30,122","31,075","45,585","58,491"
8896,"Augusta County, Virginia!!Males!!Estimate","3,093",954,"1,199",940,0,"27,460",990,"3,075","10,798","4,849","2,143","4,228","1,377",,,"4,340","3,980",487,"4,567","3,940","1,191","11,730","9,586","2,302","6,823","5,889","1,625","24,796","21,671","5,353","24,635","21,535","5,328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"39,741","23,950","33,907","40,963","62,769","44,497"
8900,"Augusta County, Virginia!!Females!!Estimate","2,848",901,665,"1,069",213,"26,273","1,242","2,076","9,510","5,598","1,679","4,390","1,778",,,"3,758","3,435",558,"4,169","3,622","1,107","10,858","9,790","2,616","7,488","6,108","1,887","25,492","22,435","6,009","25,355","22,343","6,009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"26,461","20,000","20,606","29,537","40,302","61,202"
8904,"Bedford County, Virginia!!Total!!Estimate","5,792",412,"2,271","2,444",665,"56,001","2,816","5,312","16,480","10,926","5,559","9,485","5,423",,,"6,927","6,346","1,978","8,503","7,312","3,068","25,360","22,888","7,539","15,211","11,327","2,323","50,553","43,039","13,485","49,977","42,547","13,427","4,361","3,956","1,030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"37,146","30,096","26,488","35,902","48,324","61,285"
8908,"Bedford County, Virginia!!Males!!Estimate","3,200",292,"1,151","1,407",350,"27,702","2,004","3,153","8,319","4,864","2,652","4,309","2,401",,,"3,734","3,288",731,"3,985","3,039",938,"12,614","11,107","3,604","7,369","5,111","1,437","24,826","20,079","5,945","24,411","19,706","5,887","2,264","1,923",523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"46,049","31,776","31,570","50,066","67,496","88,785"
8912,"Bedford County, Virginia!!Females!!Estimate","2,592",120,"1,120","1,037",315,"28,299",812,"2,159","8,161","6,062","2,907","5,176","3,022",,,"3,193","3,058","1,247","4,518","4,273","2,130","12,746","11,781","3,935","7,842","6,216",886,"25,727","22,960","7,540","25,566","22,841","7,540","2,097","2,033",507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"31,116","4,699","24,634","30,816","40,733","57,539"
8916,"Chesterfield County, Virginia!!Total!!Estimate","30,982","3,323","9,970","14,273","3,416","223,181","8,027","10,470","54,636","48,333","17,713","50,555","33,447",,,"39,689","38,157","13,359","45,563","42,659","17,648","93,243","85,170","37,947","44,686","38,698","15,048","159,820","147,748","62,964","150,138","141,290","61,114","46,903","43,202","15,065",0,0,0,"7,972","7,262","4,342",0,0,0,"3,467","2,246",249,"4,539","3,844","1,382","14,609","9,801","2,242",,,,,"43,863","27,056","32,057","39,803","56,567","66,861"
8920,"Chesterfield County, Virginia!!Males!!Estimate","15,038","2,177","5,215","6,458","1,188","104,621","4,355","4,946","25,405","22,844","6,790","23,977","16,304",,,"19,659","18,233","5,553","21,296","19,561","7,626","43,551","39,419","18,427","20,115","18,107","8,675","76,487","70,232","31,719","71,321","67,310","30,932","20,626","18,695","5,725",0,0,0,"3,514","3,358","2,168",0,0,0,"1,729","1,175",0,"2,018","1,664",669,"7,683","4,531",862,,,,,"51,103","35,382","37,122","45,051","71,417","91,936"
8924,"Chesterfield County, Virginia!!Females!!Estimate","15,944","1,146","4,755","7,815","2,228","118,560","3,672","5,524","29,231","25,489","10,923","26,578","17,143",,,"20,030","19,924","7,806","24,267","23,098","10,022","49,692","45,751","19,520","24,571","20,591","6,373","83,333","77,516","31,245","78,817","73,980","30,182","26,277","24,507","9,340",0,0,0,"4,458","3,904","2,174",0,0,0,"1,738","1,071",249,"2,521","2,180",713,"6,926","5,270","1,380",,,,,"38,111","16,383","29,907","34,116","46,443","55,866"
