Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency).1,"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Population 25 to 34 years,High school graduate or higher,Bachelor's degree or higher.5,Population 35 to 44 years,High school graduate or higher.1,Bachelor's degree or higher.1,Population 45 to 64 years,High school graduate or higher.2,Bachelor's degree or higher.2,Population 65 years and over,High school graduate or higher.3,Bachelor's degree or higher.3,White alone,White alone High school graduate or higher,White alone Bachelor's degree or higher,"White alone, not Hispanic or Latino","White alone, not Hispanic or Latino High school graduate or higher","White alone, not Hispanic or Latino Bachelor's degree or higher",Black alone,Black alone High school graduate or higher,Black alone Bachelor's degree or higher,Asian alone,Asian alone High school graduate or higher,Asian alone Bachelor's degree or higher,Some other race alone,Some other race alone High school graduate or higher,Some other race alone Bachelor's degree or higher,Two or more races,Two or more races High school graduate or higher,Two or more races Bachelor's degree or higher,Hispanic or Latino Origin,Hispanic or Latino Origin High school graduate or higher,Hispanic or Latino Origin Bachelor's degree or higher,Population 25 years and over with earnings,Less than high school graduate.2,High school graduate (includes equivalency).3,Some college or associate's degree.2,Bachelor's degree.1,Graduate or professional degree.1,Counties
12846,636,4205,6383,1622,71011,2009,2720,11062,13140,5352,18780,17948,14250,13136,7808,11815,11170,6939,27130,25536,13243,17816,16440,8738,59730,56794,32861,57752,54903,32067,6800,5434,826,0,0,0,0,0,0,0,0,0,0,0,0,44165,24392,33661,32250,52635,71536,ALBEMARLE
17574,1020,2551,3419,10584,171583,8163,4582,11295,15959,5591,59126,66867,60399,58251,49494,38745,35618,29004,50741,46765,34865,21698,18204,12630,127144,122561,101499,110314,109330,93346,15063,12724,6578,18404,16558,13719,6864,3199,999,0,0,0,23782,17380,9671,71206,32475,26689,45910,75025,90904,ARLINGTON
5941,1855,1864,2009,213,53733,2232,5151,20308,10447,3822,8618,3155,8098,7415,1045,8736,7562,2298,22588,19376,4918,14311,11997,3512,50288,44106,11362,49990,43878,11337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31906,21884,30122,31075,45585,58491,AUGUSTA
5792,412,2271,2444,665,56001,2816,5312,16480,10926,5559,9485,5423,6927,6346,1978,8503,7312,3068,25360,22888,7539,15211,11327,2323,50553,43039,13485,49977,42547,13427,4361,3956,1030,0,0,0,0,0,0,0,0,0,0,0,0,37146,30096,26488,35902,48324,61285,BEDFORD
30982,3323,9970,14273,3416,223181,8027,10470,54636,48333,17713,50555,33447,39689,38157,13359,45563,42659,17648,93243,85170,37947,44686,38698,15048,159820,147748,62964,150138,141290,61114,46903,43202,15065,7972,7262,4342,3467,2246,249,4539,3844,1382,14609,9801,2242,43863,27056,32057,39803,56567,66861,CHESTERFIELD
95964,11409,22297,40695,21563,774691,33480,28161,107904,103611,41191,236465,223879,157692,146353,90501,166394,152021,105284,314428,291914,190739,136177,122762,73820,493529,466271,317845,422448,414535,296171,71101,64996,30935,152459,138257,94194,33476,21439,6069,22630,20619,10692,110556,77555,29540,60396,24948,30419,41087,70472,100911,FAIRFAX
4874,552,2197,1509,616,47709,1151,2574,14880,10009,3349,9587,6159,7640,6860,1744,8467,8163,2853,20973,19521,7390,10629,9440,3759,41550,38856,14465,39146,36953,14131,4074,3265,671,0,0,0,0,0,0,0,0,0,2881,2181,363,50248,32104,40747,49784,69896,62119,FAUQUIER
6113,574,2365,3003,171,58126,2228,4541,19069,10698,5266,9628,6696,9257,8633,2598,9789,8578,3356,25344,23150,7420,13736,10996,2950,53278,47529,14661,49976,45315,14181,0,0,0,0,0,0,0,0,0,0,0,0,3469,2321,511,42326,35795,36523,36117,47831,71199,FREDERICK
8908,1114,2587,4253,954,71095,1318,4025,19734,14659,6569,17224,7566,9945,9445,3581,13551,12956,5750,31289,29357,11428,16310,13994,4031,61523,57839,22244,60317,56684,21906,7070,5837,1529,0,0,0,0,0,0,0,0,0,0,0,0,50110,30787,36780,51057,55958,66599,HANOVER
25844,3974,7481,10444,3945,223827,6037,12155,46069,45848,14997,60648,38073,47799,44163,22266,43159,40178,22279,87056,81039,38520,45813,40255,15656,136336,129369,67746,129358,123611,65335,61711,53824,17963,18674,15881,11293,0,0,0,3273,3149,1006,9862,8221,3009,39313,21048,30562,31912,46265,67533,HENRICO
4606,591,1104,2486,425,53615,1347,1619,9493,11485,4352,14374,10945,8063,7893,3044,7468,7182,3605,20674,19362,9664,17410,16212,9006,43637,41780,22559,42165,40732,22387,6779,5897,1514,0,0,0,0,0,0,0,0,0,0,0,0,39049,19189,24034,35350,49232,66250,JAMES
26999,3669,8265,10744,4321,239384,7142,7655,32460,34709,13358,87085,56975,46972,44461,26166,65685,62193,47737,95642,90954,57125,31085,26979,13032,161976,154474,95640,142693,138723,88377,18702,17324,9595,42356,39788,31599,6970,4458,2149,8543,7737,4538,28920,22227,10189,65875,27798,35476,47403,81112,101011,LOUDOUN
26827,505,3169,19168,3985,55195,1550,2768,11579,9040,3917,14104,12237,15152,14877,9457,10232,9354,5187,19199,17233,8027,10612,9413,3670,48422,44692,21613,47633,43975,21133,2222,1734,857,0,0,0,0,0,0,0,0,0,0,0,0,36299,20179,23503,31599,41129,55990,MONTGOMERY
39945,4208,13976,18020,3741,286217,17339,19153,58152,57290,20718,68574,44991,63967,55420,24044,69340,59944,28110,113648,100274,46856,39262,34087,14555,169200,152636,72958,139036,133567,68170,59902,56080,23655,25252,21409,10481,20328,9597,1956,10137,8791,4413,55616,32858,8455,49793,25977,31737,43167,67506,89514,PRINCE
7258,1031,2744,2813,670,67287,1808,2791,15874,15158,7556,15369,8731,10956,10357,5741,10812,10328,4134,26533,25827,8904,18986,16176,5321,61102,56707,20516,59722,55392,20412,3775,3621,1685,0,0,0,0,0,0,0,0,0,0,0,0,42222,20724,37611,38802,49003,52315,ROANOKE
7598,616,3625,3139,218,53621,4564,5624,18049,9165,3341,7906,4972,8557,7651,2307,8781,7611,2998,21935,17936,5352,14348,10235,2221,51129,41715,12368,49748,40995,12353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33215,31079,26958,32798,46100,51438,ROCKINGHAM
11373,1367,3727,4416,1863,85948,2926,6007,27479,16492,6236,16458,10350,15290,14777,4224,18239,16095,6622,35891,32626,12042,16528,13517,3920,66438,59657,21614,62437,57232,20903,13109,11502,3011,0,0,0,0,0,0,1584,1555,680,6353,4310,1271,42065,23487,29478,41399,61741,70566,SPOTSYLVANIA
14762,2258,6080,4701,1723,89541,2223,4021,19599,22565,8947,18097,14089,17021,15956,5103,20589,20016,7703,38436,36001,14885,13495,11324,4495,63880,60266,23008,60192,56578,21644,15979,14227,6304,3383,3234,1530,0,0,0,1921,1773,771,8365,7679,1949,52132,27116,37170,45208,75705,91153,STAFFORD
5932,738,2016,2544,634,45380,1390,1129,9600,9346,4885,10401,8629,7542,7458,2555,8765,8133,3594,18952,18359,9873,10121,8911,3008,34839,33447,14763,33410,32169,14520,6026,5405,1856,0,0,0,0,0,0,0,0,0,2186,1795,388,47364,15866,41748,39664,51267,82612,YORK
9101,1270,2010,3738,2083,116855,6185,3188,15701,16594,5310,31611,38266,34707,32135,21312,29079,27019,17484,37154,34557,22612,15915,13771,8469,77486,72298,54326,65288,64608,51407,22286,19485,7693,8570,8290,5399,2671,1959,433,5635,5243,2026,17011,11527,3818,56341,21432,24920,37026,70159,83469,ALEXANDRIA
21210,2835,8194,7946,2235,157207,3392,9612,36904,42381,14879,31549,18490,33841,30425,10743,31423,29853,11135,62989,58996,20248,28954,24929,7913,100232,93989,34257,95891,89898,32742,45289,39620,11553,6075,5493,2869,0,0,0,2979,2851,1021,7293,6622,1809,41561,26514,30226,40975,51404,60294,CHESAPEAKE
16589,1712,3293,9711,1873,91099,2885,6192,24070,25316,10087,15019,7530,21774,20577,6172,15048,13619,3986,34850,31725,7410,19427,16101,4981,41354,37045,10148,39101,34972,9525,42870,39178,10406,2837,2034,698,0,0,0,0,0,0,3633,3393,738,34931,16301,27584,33153,43779,56446,HAMPTON
19301,1399,5135,10654,2113,45037,2404,3187,11961,9107,3511,8660,6207,11064,10370,4101,7045,6499,2414,15829,13960,5004,11099,8617,3348,29199,26362,12109,28612,25965,12016,13627,11193,1606,0,0,0,0,0,0,0,0,0,0,0,0,30708,20391,21767,29148,36732,55376,LYNCHBURG
24057,1695,8232,12486,1644,115693,3265,7505,31805,32385,12217,17987,10529,30502,28393,7576,20862,19308,5654,42400,39350,10869,21929,17872,4417,60319,56253,18382,56312,52587,17361,44808,40172,8432,4589,3026,937,0,0,0,2776,2630,472,7509,6710,1412,36460,27400,27247,33407,44437,56263,NEWPORT
45764,2583,14852,26387,1942,150965,5396,13840,43033,35546,12945,23859,16346,46244,42885,12375,26801,24487,8576,52695,45553,13409,25225,18804,5845,78676,72947,28704,72954,68726,27858,59031,47289,8161,6521,5655,2226,2341,2002,113,3555,3073,902,8873,6983,1365,33224,17506,26389,32187,45445,62492,NORFOLK
10531,833,4058,4347,1293,62610,2525,6796,17261,15088,6194,9483,5263,15973,14337,3787,10578,9360,3197,22819,19694,4964,13240,9898,2798,28256,25259,7286,27509,24867,7130,31435,25186,6628,0,0,0,0,0,0,0,0,0,0,0,0,33201,20159,26927,33109,39519,55831,PORTSMOUTH
30260,3024,7034,16383,3819,150042,9427,11913,35106,27260,9745,34707,21884,46057,42226,20617,25859,22499,10534,52786,44071,18093,25340,19906,7347,73818,67496,44157,67556,64720,43319,68100,54369,9452,0,0,0,0,0,0,4179,3845,966,7722,3504,887,30999,19929,22135,26010,41424,58549,RICHMOND
8788,1679,3444,2771,894,69434,4451,5948,23073,15465,5411,9380,5706,15793,13939,3204,12585,10046,3598,25790,23065,5431,15266,11985,2853,49198,43239,12905,45647,40464,11762,16994,13342,1294,0,0,0,0,0,0,0,0,0,3854,2986,1143,28935,14281,23713,27002,42898,61070,ROANOKE
8127,678,3453,3531,465,58380,2475,5008,16438,13783,4503,9519,6654,11169,9897,3199,11260,10838,3348,23997,20681,6621,11954,9481,3005,32631,30508,11095,31486,29395,10916,23296,18215,4611,0,0,0,0,0,0,0,0,0,2238,2016,622,40197,16467,31014,39115,55781,72135,SUFFOLK
45570,2821,14521,24769,3459,305033,7340,13887,68972,82121,32755,66017,33941,76016,71589,21544,58189,55179,21814,113572,106728,38580,57256,50310,18020,213818,202608,73048,201098,191673,69979,55310,48595,12909,21836,19955,9791,4120,3221,543,9246,8724,3325,19935,17310,4403,40386,25707,32059,35522,51401,65704,VIRGINIA
